,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
47719,Batschkastraße,361117.0,202616,48.114147,11.667166,,,698511.5925536727,5332428.305836367,True
47720,Batschkastraße,361117.0,264751,48.114883,11.667535,,,698536.2171439212,5332511.053737195,True
47850,Baubergerstraße,52374.0,451891,48.176556,11.505559,,,686258.3114983301,5338959.798428861,True
47851,Baubergerstraße,52374.0,593568,48.177097,11.506008,,,686289.725954023,5339021.012304166,True
48058,Baumgartnerstraße,57215.0,111422,48.126682,11.535761,,,688686.1641132545,5333490.6035465365,True
48059,Baumgartnerstraße,57215.0,21336,48.12594,11.535554,,,688673.4814424032,5333407.632356679,True
48060,Baumgartnerstraße,57215.0,231857,48.125732,11.536165,,,688719.7058541155,5333386.015185321,True
48097,Baumkirchner Platz,369142.0,19355,48.130962,11.631862,,,695820.2306832897,5334206.532947842,True
48098,Baumkirchner Platz,369142.0,211180,48.13092,11.632051,,,695834.4516962062,5334202.34658805,True
48100,Baumkirchner Straße,136596.0,106108,48.12833,11.631045,,,695769.4569037103,5333911.943523183,True
48101,Baumkirchner Straße,136596.0,133897,48.128506,11.629985,,,695689.9219263014,5333928.80528021,True
