period_start,period_end,line,planned_trips,observed_trips,missing_trips,completeness_percent
2026-09-12 07:10:40,2026-09-13 07:10:40,N05,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N106,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1135,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1230,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1304,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1308,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N136,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1385,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1395,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N17,14,0,14,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N19,30,0,30,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1909,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N191,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N1912,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N199,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N20,15,0,15,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N236,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N27,28,0,28,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N277,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N28,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N280,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N34,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N36,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N40,14,0,14,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N41,14,0,14,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N422,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N43,8,0,8,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N44,8,0,8,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N45,14,0,14,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N452,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N491,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N531,1,0,1,0.0
